Alpha (Bohr),Nuclear Repulsion Energy (Hartree),APset1roGSD_sen-v Electronic Energy (Hartree),APset1roGSD_sen-v Total Energy (Hartree)
0,3.618341332,-5.609965342,-1.99162401
0.1,3.564347113,-5.555598941,-1.991251828
0.2,3.440692861,-5.411350211,-1.97065735
0.25,3.374656611,-5.317793278,-1.943136667
0.3,3.314988366,-5.216362455,-1.901374089
0.35,3.265810548,-5.110811805,-1.845001257
0.4,3.229518888,-5.004202765,-1.774683878
0.45,3.207368421,-4.908450117,-1.701081696
0.5,3.199931218,-4.878619711,-1.678688493
