Alpha (Bohr),Nuclear Repulsion Energy (Hartree),APset1roGSD_sen-ov Electronic Energy (Hartree),APset1roGSD_sen-ov Total Energy (Hartree)
0,2.707106781,-4.636562161,-1.92945538
0.1,2.699457144,-4.624766142,-1.925308998
0.2,2.680039604,-4.594473191,-1.914433588
0.25,2.668458387,-4.576074267,-1.907615881
0.3,2.657180451,-4.557818345,-1.900637894
0.35,2.647255684,-4.541360345,-1.894104661
0.4,2.639541248,-4.528158915,-1.888617667
0.45,2.634661561,-4.519410625,-1.884749063
0.5,2.632993162,-4.515969839,-1.882976677
