Alpha (Bohr),Nuclear Repulsion Energy (Hartree),APG1roSD_free Electronic Energy (Hartree),APG1roSD_free Total Energy (Hartree)
0,1.560435414,-3.734062132,-2.173626719
0.1,1.560404502,-3.733146507,-2.172742005
0.2,1.560323607,-3.733132562,-2.172808956
0.25,1.560273633,-3.733130349,-2.172856716
0.3,1.560223677,-3.733136041,-2.172912364
0.35,1.560178625,-3.726404292,-2.166225667
0.4,1.560142883,-3.733464469,-2.173321587
0.45,1.560119938,-3.733372999,-2.173253061
0.5,1.560112034,-3.733294376,-2.173182342
