Alpha (Bohr),Nuclear Repulsion Energy (Hartree),AP1roGSDGeneralized_sen-o Electronic Energy (Hartree),AP1roGSDGeneralized_sen-o Total Energy (Hartree)
0,2.221366863,-4.328213569,-2.106846706
0.1,2.219870978,-4.335910098,-2.11603912
0.2,2.215988112,-4.332633817,-2.116645706
0.25,2.21361221,-4.330561015,-2.116948805
0.3,2.211254241,-4.323206572,-2.111952332
0.35,2.209142281,-4.326386471,-2.117244191
0.4,2.207476365,-4.324605957,-2.117129592
0.45,2.20641147,-4.32181947,-2.115407999
0.5,2.206045378,-4.321302238,-2.115256859
