Alpha (Bohr),Nuclear Repulsion Energy (Hartree),APG1roSD_sen-ov Electronic Energy (Hartree),APG1roSD_sen-ov Total Energy (Hartree)
0,1.560435414,-3.752520537,-2.192085124
0.1,1.560404502,-3.752490274,-2.192085772
0.2,1.560323607,-3.752410996,-2.192087389
0.25,1.560273633,-3.752362196,-2.192088563
0.3,1.560223677,-3.752313215,-2.192089538
0.35,1.560178625,-3.752269168,-2.192090542
0.4,1.560142883,-3.752234104,-2.192091222
0.45,1.560119938,-3.752211817,-2.192091879
0.5,1.560112034,-3.69625563,-2.136143596
