Alpha (Bohr),Nuclear Repulsion Energy (Hartree),AP1roGSDSpin_free Electronic Energy (Hartree),AP1roGSDSpin_free Total Energy (Hartree)
0,2.221366863,-4.297078783,-2.075711921
0.1,2.219870978,-4.296026728,-2.076155751
0.2,2.215988112,-4.293291734,-2.077303622
0.25,2.21361221,-4.291615235,-2.078003025
0.3,2.211254241,-4.289949058,-2.078694818
0.35,2.209142281,-4.288454784,-2.079312503
0.4,2.207476365,-4.287274788,-2.079798423
0.45,2.20641147,-4.286519913,-2.080108443
0.5,2.206045378,-4.286260333,-2.080214955
