Alpha (Bohr),Nuclear Repulsion Energy (Hartree),APset1roGSD_free Electronic Energy (Hartree),APset1roGSD_free Total Energy (Hartree)
0,1.947213595,-4.073341814,-2.126128218
0.1,1.946789538,-4.072971321,-2.126181784
0.2,1.945682823,-4.072004359,-2.126321536
0.25,1.945001344,-4.071408562,-2.126407219
0.3,1.944321769,-4.070814186,-2.126492417
0.35,1.943710343,-4.070279056,-2.126568713
0.4,1.943226207,-4.06985526,-2.126629053
0.45,1.942915881,-4.069583537,-2.126667656
0.5,1.942809042,-4.069489951,-2.126680909
