Alpha (Bohr),Nuclear Repulsion Energy (Hartree),AP1roGSDSpin_sen-ov Electronic Energy (Hartree),AP1roGSDSpin_sen-ov Total Energy (Hartree)
0,2.221366863,-4.297078805,-2.075711942
0.1,2.219870978,-4.296026769,-2.076155791
0.2,2.215988112,-4.29329177,-2.077303659
0.25,2.21361221,-4.291615221,-2.078003011
0.3,2.211254241,-4.28994903,-2.078694789
0.35,2.209142281,-4.288454785,-2.079312504
0.4,2.207476365,-4.287274797,-2.079798433
0.45,2.20641147,-4.286519906,-2.080108436
0.5,2.206045378,-4.286260991,-2.080215613
