Alpha (Bohr),Nuclear Repulsion Energy (Hartree),APG1roSD_sen-ov Electronic Energy (Hartree),APG1roSD_sen-ov Total Energy (Hartree)
0,2.707106781,-4.657658441,-1.950551659
0.1,2.699457144,-4.646543595,-1.947086451
0.2,2.680039604,-4.622061618,-1.942022014
0.25,2.668458387,-4.610280968,-1.941822581
0.3,2.657180451,-4.600002571,-1.94282212
0.35,2.647255684,-4.591755773,-1.944500089
0.4,2.639541248,-4.585769209,-1.946227962
0.45,2.634661561,-4.582145334,-1.947483772
0.5,2.632993162,-4.516089607,-1.883096445
