Alpha (Bohr),Nuclear Repulsion Energy (Hartree),FCI Electronic Energy (Hartree),FCI Total Energy (Hartree)
0,1.560435414,-3.752524591,-2.192089178
0.1,1.560404502,-3.752493958,-2.192089455
0.2,1.560323607,-3.752413788,-2.192090181
0.25,1.560273633,-3.752364257,-2.192090624
0.3,1.560223677,-3.75231475,-2.192091074
0.35,1.560178625,-3.752270098,-2.192091473
0.4,1.560142883,-3.752234677,-2.192091794
0.45,1.560119938,-3.752211935,-2.192091997
0.5,1.560112034,-3.752204104,-2.19209207
