Alpha (Bohr),Nuclear Repulsion Energy (Hartree),APset1roGSD_free Electronic Energy (Hartree),APset1roGSD_free Total Energy (Hartree)
0,2.707106781,-4.6365624,-1.929455619
0.1,2.699457144,-4.624766228,-1.925309084
0.2,2.680039604,-4.59447325,-1.914433646
0.25,2.668458387,-4.576074297,-1.907615911
0.3,2.657180451,-4.557818351,-1.9006379
0.35,2.647255684,-4.541360416,-1.894104732
0.4,2.639541248,-4.528159039,-1.888617792
0.45,2.634661561,-4.519410669,-1.884749108
0.5,2.632993162,-4.516005049,-1.883011888
