Alpha (Bohr),Nuclear Repulsion Energy (Hartree),FCI Electronic Energy (Hartree),FCI Total Energy (Hartree)
0,3.230710144,-5.260771433,-2.030061289
0.1,3.204065557,-5.222330271,-2.018264714
0.2,3.139669012,-5.118379837,-1.978710826
0.25,3.103284152,-5.049832648,-1.946548497
0.3,3.069173913,-4.975081791,-1.905907878
0.35,3.04016172,-4.897672347,-1.857510627
0.4,3.018222598,-4.821273795,-1.803051197
0.45,3.004609024,-4.750305611,-1.745696587
0.5,3,-4.690554044,-1.690554044
