Alpha (Bohr),Nuclear Repulsion Energy (Hartree),APset1roGSD_free Electronic Energy (Hartree),APset1roGSD_free Total Energy (Hartree)
0,2.221366863,-4.297078814,-2.075711951
0.1,2.219870978,-4.29602684,-2.076155862
0.2,2.215988112,-4.293291759,-2.077303648
0.25,2.21361221,-4.291615288,-2.078003078
0.3,2.211254241,-4.289949144,-2.078694903
0.35,2.209142281,-4.288454922,-2.079312641
0.4,2.207476365,-4.287274892,-2.079798527
0.45,2.20641147,-4.286519958,-2.080108488
0.5,2.206045378,-4.286260287,-2.080214909
