Alpha (Bohr),Nuclear Repulsion Energy (Hartree),APG1roSD_sen-ov Electronic Energy (Hartree),APG1roSD_sen-ov Total Energy (Hartree)
0,3.618341332,-5.630762044,-2.012420711
0.1,3.564347113,-5.57762308,-2.013275967
0.2,3.440692861,-5.437326916,-1.996634055
0.25,3.374656611,-5.346979854,-1.972323243
0.3,3.314988366,-5.249764666,-1.934776301
0.35,3.265810548,-5.149668017,-1.883857469
0.4,3.229518888,-5.050172244,-1.820653356
0.45,3.207368421,-4.956429828,-1.749061407
0.5,3.199931218,-4.895945719,-1.696014501
