Alpha (Bohr),Nuclear Repulsion Energy (Hartree),APset1roGD_free Electronic Energy (Hartree),APset1roGD_free Total Energy (Hartree)
0,2.707106781,-4.583653284,-1.876546503
0.1,2.699457144,-4.572368008,-1.872910864
0.2,2.680039604,-4.550117827,-1.870078223
0.25,2.668458387,-4.540046111,-1.871587724
0.3,2.657180451,-4.531595788,-1.874415337
0.35,2.647255684,-4.524875077,-1.877619393
0.4,2.639541248,-4.519969919,-1.880428671
0.45,2.634661561,-4.516976014,-1.882314453
0.5,2.632993162,-4.51596907,-1.882975908
