Alpha (Bohr),Nuclear Repulsion Energy (Hartree),HF Electronic Energy (Hartree),HF Total Energy (Hartree)
0,3.618341332,-5.593482424,-1.975141091
0.1,3.564347113,-5.538245411,-1.973898298
0.2,3.440692861,-5.391001255,-1.950308394
0.25,3.374656611,-5.294829085,-1.920172474
0.3,3.314988366,-5.189707099,-1.874718733
0.35,3.265810548,-5.07888037,-1.813069823
0.4,3.229518888,-4.964288362,-1.734769475
0.45,3.207368421,-4.846576101,-1.63920768
0.5,3.199931218,-4.725164902,-1.525233684
