Alpha (Bohr),Nuclear Repulsion Energy (Hartree),APG1roSD_free Electronic Energy (Hartree),APG1roSD_free Total Energy (Hartree)
0,3.230710144,-5.251955477,-2.021245333
0.1,3.204065557,-5.212980069,-2.008914512
0.2,3.139669012,-5.107345858,-1.967676846
0.25,3.103284152,-5.037515523,-1.934231371
0.3,3.069173913,-4.961265474,-1.892091561
0.35,3.04016172,-4.882355046,-1.842193326
0.4,3.018222598,-4.793005228,-1.77478263
0.45,3.004609024,-4.737120719,-1.732511695
0.5,3,-4.690553927,-1.690553927
