Alpha (Bohr),Nuclear Repulsion Energy (Hartree),FCI Electronic Energy (Hartree),FCI Total Energy (Hartree)
0,3.618341332,-5.631487579,-2.013146246
0.1,3.564347113,-5.578199208,-2.013852095
0.2,3.440692861,-5.437618482,-1.996925621
0.25,3.374656611,-5.347150342,-1.972493731
0.3,3.314988366,-5.249843999,-1.934855633
0.35,3.265810548,-5.149687156,-1.883876608
0.4,3.229518888,-5.050176295,-1.820657407
0.45,3.207368421,-4.956725922,-1.749357502
0.5,3.199931218,-4.900516197,-1.700584979
