Alpha (Bohr),Nuclear Repulsion Energy (Hartree),APG1roSD_sen-ov Electronic Energy (Hartree),APG1roSD_sen-ov Total Energy (Hartree)
0,3.230710144,-5.259743757,-2.029033614
0.1,3.204065557,-5.221410626,-2.017345069
0.2,3.139669012,-5.117682461,-1.978013449
0.25,3.103284152,-5.0492301,-1.945945948
0.3,3.069173913,-4.974534658,-1.905360745
0.35,3.04016172,-4.897117838,-1.856956118
0.4,3.018222598,-4.82061213,-1.802389532
0.45,3.004609024,-4.749401332,-1.744792307
0.5,3,-4.690552673,-1.690552673
