Alpha (Bohr),Nuclear Repulsion Energy (Hartree),APG1roSD_sen-o Electronic Energy (Hartree),APG1roSD_sen-o Total Energy (Hartree)
0,3.618341332,-5.625016998,-2.006675666
0.1,3.564347113,-5.571211147,-2.006864034
0.2,3.440692861,-5.428894262,-1.988201401
0.25,3.374656611,-5.333056989,-1.958400378
0.3,3.314988366,-5.2378164,-1.922828034
0.35,3.265810548,-5.135229563,-1.869419015
0.4,3.229518888,-5.033137964,-1.803619077
0.45,3.207368421,-4.940161202,-1.732792781
0.5,3.199931218,-4.895471926,-1.695540707
