Alpha (Bohr),Nuclear Repulsion Energy (Hartree),APG1roSD_sen-o Electronic Energy (Hartree),APG1roSD_sen-o Total Energy (Hartree)
0,2.221366863,-4.32821366,-2.106846797
0.1,2.219870978,-4.335910115,-2.116039137
0.2,2.215988112,-4.332634,-2.116645888
0.25,2.21361221,-4.330561106,-2.116948896
0.3,2.211254241,-4.323206592,-2.111952351
0.35,2.209142281,-4.326386538,-2.117244258
0.4,2.207476365,-4.324606093,-2.117129728
0.45,2.20641147,-4.323203184,-2.116791714
0.5,2.206045378,-4.322261205,-2.116215827
