Alpha (Bohr),Nuclear Repulsion Energy (Hartree),HF Electronic Energy (Hartree),HF Total Energy (Hartree)
0,2.707106781,-4.499819343,-1.792712562
0.1,2.699457144,-4.496447883,-1.796990739
0.2,2.680039604,-4.487886649,-1.807847045
0.25,2.668458387,-4.482777798,-1.814319411
0.3,2.657180451,-4.477800439,-1.820619988
0.35,2.647255684,-4.47341815,-1.826162466
0.4,2.639541248,-4.470010298,-1.830469051
0.45,2.634661561,-4.467853945,-1.833192384
0.5,2.632993162,-4.467116532,-1.83412337
