Distance (Angstrom),Nuclear Repulsion Energy (Hartree),APset1roGSD_sen-o Electronic Energy (Hartree),APset1roGSD_sen-o Total Energy (Hartree)
0.5,20.41532081,-23.78681545,-3.371494641
0.55,18.55938255,-22.57818812,-4.018805571
0.6,17.01276733,-21.4853356,-4.472568266
0.65,15.70409294,-20.49327822,-4.789185276
0.7,14.58237201,-19.58911237,-5.006740362
0.75,13.61021387,-18.76176944,-5.151555565
0.8,12.7595755,-18.00187231,-5.242296806
0.85,12.00901224,-17.30143951,-5.292427267
0.9,11.3418449,-16.65365626,-5.311811364
0.95,10.74490569,-16.05273332,-5.307827624
1,10.20766041,-15.49502328,-5.287362877
1.05,9.721581337,-14.97920785,-5.257626511
1.1,9.279691276,-14.50114616,-5.22145488
1.15,8.876226443,-14.05732364,-5.181097198
1.2,8.506383657,-13.64487464,-5.138490984
1.25,8.166128298,-13.26138794,-5.095259643
1.3,7.852046481,-12.9048002,-5.052753715
1.35,7.561229933,-12.57325702,-5.012027089
1.4,7.291185997,-12.26504121,-4.973855212
1.45,7.039765782,-11.97853188,-4.938766093
1.5,6.805106953,-11.71215102,-4.907044065
1.55,6.585587369,-11.42120388,-4.835616509
1.6,6.379787752,-11.23366373,-4.853875977
1.65,6.186460841,-10.984399,-4.797938159
1.7,6.004506111,-10.78789141,-4.783385298
1.75,5.832948813,-10.63029036,-4.797341544
1.8,5.670922449,-10.4318492,-4.760926747
1.85,5.517654266,-10.23079081,-4.713136548
1.9,5.372452839,-10.13450297,-4.762050133
1.95,5.234697654,-9.974028542,-4.739330888
2,5.103830206,-9.850502174,-4.746671969
2.05,4.979346542,-9.709637468,-4.730290926
2.1,4.860790666,-9.587689228,-4.726898562
2.15,4.747749017,-9.471842117,-4.7240931
2.2,4.639845642,-9.361590732,-4.72174509
2.25,4.53673796,-9.251159642,-4.714421681
2.3,4.438113219,-9.160858247,-4.722745028
2.35,4.343685272,-9.064379959,-4.720694687
2.4,4.253191846,-8.965716805,-4.712524959
2.45,4.166392007,-8.883939801,-4.717547794
2.5,4.083064162,-8.794856655,-4.711792494
