Distance (Bohr),Nuclear Repulsion Energy (Hartree),pCCD Electronic Energy (Hartree),pCCD Total Energy (Hartree)
0.5,22.79468245,-23.77641908,-0.981736633
0.6,18.99556871,-21.52078284,-2.525214133
0.7,16.28191604,-19.6105609,-3.328644862
0.8,14.24667653,-17.97908368,-3.732407144
0.9,12.66371247,-16.59834574,-3.934633267
1,11.39734123,-15.39579606,-3.998454835
1.1,10.3612193,-14.36517747,-4.003958171
1.2,9.497784355,-13.45053929,-3.952754932
1.3,8.767185558,-12.6589509,-3.891765347
1.4,8.140958018,-11.9520558,-3.811097783
1.5,7.598227484,-11.3409431,-3.742715617
1.6,7.123338266,-10.76114697,-3.6378087
1.7,6.704318368,-10.27376441,-3.56944604
1.8,6.331856236,-9.799345912,-3.467489675
1.9,5.998600645,-9.4091895,-3.410588855
2,5.698670613,-8.990658846,-3.291988234
2.25,5.065484989,-8.238153626,-3.172668637
2.5,4.55893649,-7.630341659,-3.071405168
3,3.799113742,-6.762706876,-2.963593134
4,2.849335306,-5.656070697,-2.80673539
