Distance (Angstrom),Nuclear Repulsion Energy (Hartree),APset1roGSD_sen-o Electronic Energy (Hartree),APset1roGSD_sen-o Total Energy (Hartree)
0.5,14.54481362,-17.35538121,-2.810567586
0.6,12.12067802,-15.76103934,-3.640361312
0.7,10.38915259,-14.43099306,-4.041840469
0.8,9.090508514,-13.30693251,-4.216424001
0.9,8.080452001,-12.34485384,-4.264401839
1,7.272406807,-11.51210794,-4.239701133
1.1,6.611278908,-10.79015654,-4.178877631
1.2,6.060339026,-10.16975236,-4.109413329
1.3,5.594159093,-9.634115927,-4.039956834
1.4,5.194576302,-9.171376015,-3.976799713
1.5,4.848271213,-8.771837005,-3.923565792
1.6,4.545254257,-8.426591773,-3.881337516
1.7,4.277886356,-8.097167395,-3.819281039
1.8,4.040226005,-7.865965428,-3.825739423
1.9,3.827582529,-7.619539321,-3.791956792
2,3.636203411,-7.420599665,-3.784396254
2.25,3.232180802,-7.012036019,-3.779855217
2.5,2.908962723,-6.67735434,-3.768391618
3,2.424135605,-6.192795772,-3.768660167
4,1.818101703,-5.586413691,-3.768311988
