Alpha (Bohr),Nuclear Repulsion Energy (Hartree),APset1roGSD_sen-ov Electronic Energy (Hartree),APset1roGSD_sen-ov Total Energy (Hartree)
0.6,3.65328874,-5.205168372,-1.551879632
0.8,3.172619048,-5.023791165,-1.851172118
1,2.866666667,-4.85902952,-1.992362854
1.2,2.650641026,-4.71272267,-2.062081644
1.5,2.41991342,-4.527104937,-2.107191517
2,2.166666667,-4.295165765,-2.128499099
2.5,1.998290598,-4.132482812,-2.134192214
3,1.876190476,-4.012481277,-2.136290801
4,1.708333333,-3.845233422,-2.136900088
5,1.596825397,-3.733211481,-2.136386084
6,1.516666667,-3.652549308,-2.135882642
8,1.408333333,-3.543532333,-2.135198999
