Alpha (Bohr),Nuclear Repulsion Energy (Hartree),APG1roD Electronic Energy (Hartree),APG1roD Total Energy (Hartree)
0,4.511844635,-5.821459765,-1.309615129
0.005,4.477315124,-5.806357815,-1.329042691
0.01,4.444503726,-5.795931367,-1.351427641
0.02,4.383525993,-5.783367387,-1.399841394
0.05,4.230648047,-5.766789269,-1.536141222
0.1,4.045084971,-5.750837842,-1.70575287
0.15,3.914118274,-5.733935488,-1.819817215
0.2,3.81831316,-5.715118379,-1.89680522
0.25,3.747171465,-5.696106146,-1.948934681
0.3,3.694523535,-5.678779704,-1.984256169
0.4,3.630868035,-5.653525659,-2.022657624
0.5,3.611111111,-5.644708956,-2.033597845
