Alpha (Bohr),Nuclear Repulsion Energy (Hartree),APset1roGSD_free Electronic Energy (Hartree),APset1roGSD_free Total Energy (Hartree)
0,2.707106781,-4.636053484,-1.928946702
0.005,2.686389082,-4.618488211,-1.932099129
0.01,2.666702232,-4.601949091,-1.935246858
0.02,2.630115588,-4.572939933,-1.942824345
0.05,2.53838883,-4.510658634,-1.972269804
0.1,2.427050984,-4.455237349,-2.028186365
0.15,2.348470964,-4.417995471,-2.069524507
0.2,2.290987895,-4.385073149,-2.094085254
0.25,2.248302884,-4.35707993,-2.108777046
0.3,2.216714119,-4.334382425,-2.117668307
0.4,2.178520823,-4.304792887,-2.126272064
0.5,2.166666667,-4.295165928,-2.128499261
