Alpha (Bohr),Nuclear Repulsion Energy (Hartree),AP1roGSDGeneralized_free Electronic Energy (Hartree),AP1roGSDGeneralized_free Total Energy (Hartree)
0,2.707106781,-4.648042182,-1.940935401
0.005,2.686389082,-4.639359566,-1.952970483
0.01,2.666702232,-4.623468578,-1.956766346
0.02,2.630115588,-4.596584725,-1.966469137
0.05,2.53838883,-4.545687801,-2.007298971
0.1,2.427050984,-4.493303452,-2.066252468
0.15,2.348470964,-4.451334232,-2.102863268
0.2,2.290987895,-4.415882947,-2.124895052
0.25,2.248302884,-4.386535008,-2.138232124
0.3,2.216714119,-4.363125252,-2.146411133
0.4,2.178520823,-4.332993542,-2.154472719
0.5,2.166666667,-4.323260806,-2.156594139
